latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
0.22305,-50.98979,305.3,0.39,0.6,2020-10-02,0406,1,VIIRS,n,2.0NRT,288.7,1,N
-3.15706,-48.92509,306.2,0.5,0.49,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.5,0.8,N
-2.89767,-50.48222,303.6,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.5,2.8,N
-2.89264,-50.48139,339.8,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.9,2.8,N
-2.89214,-50.4844,346.9,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.9,4.3,N
-2.89166,-50.48734,323.9,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.5,4.3,N
-2.88809,-50.47761,304.8,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.3,1.8,N
-2.88712,-50.48353,315.3,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291,1.1,N
-2.88663,-50.48652,305.7,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.2,1.1,N
-2.88761,-50.48053,335.6,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.3,1.8,N
-2.83982,-50.45732,314.8,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.1,1.3,N
-3.24158,-48.0306,305,0.44,0.46,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.5,0.5,N
-2.83479,-50.45648,325.5,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.5,1.3,N
-3.23735,-48.02995,315.6,0.44,0.46,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.9,1.2,N
-3.23744,-48.03099,318,0.44,0.46,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.1,2,N
-2.83517,-50.45862,304.4,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,290.9,1.2,N
-2.83564,-50.4557,323.5,0.32,0.55,2020-10-02,0406,1,VIIRS,n,2.0NRT,291.4,1.2,N
-3.84812,-44.06246,307.1,0.41,0.37,2020-10-02,0406,1,VIIRS,n,2.0NRT,294.2,0.7,N
-3.79804,-44.13672,311.5,0.41,0.37,2020-10-02,0406,1,VIIRS,n,2.0NRT,294.6,1.4,N
-3.2844,-47.19264,304.4,0.39,0.44,2020-10-02,0406,1,VIIRS,n,2.0NRT,292.7,1.5,N
-3.28496,-47.18927,321.6,0.39,0.44,2020-10-02,0406,1,VIIRS,n,2.0NRT,293.6,1.5,N
-3.28097,-47.18861,317.9,0.39,0.44,2020-10-02,0406,1,VIIRS,n,2.0NRT,293.1,1.5,N
-4.72684,-37.84558,307.9,0.57,0.43,2020-10-02,0406,1,VIIRS,n,2.0NRT,293,1.2,N
-4.72287,-37.84497,306.7,0.57,0.43,2020-10-02,0406,1,VIIRS,n,2.0NRT,293.5,1.2,N
-4.72433,-37.84371,316.8,0.57,0.43,2020-10-02,0406,1,VIIRS,n,2.0NRT,293.7,2.3,N
-3.17524,-47.50243,302.7,0.4,0.45,2020-10-02,0406,1,VIIRS,n,2.0NRT,292,1.1,N
-3.17056,-47.50544,311.9,0.4,0.45,2020-10-02,0406,1,VIIRS,n,2.0NRT,292,1.1,N
-3.33596,-46.35718,304,0.52,0.41,2020-10-02,0406,1,VIIRS,n,2.0NRT,293.4,0.8,N
-3.28818,-46.3874,306.3,0.52,0.41,2020-10-02,0406,1,VIIRS,n,2.0NRT,293.7,1.3,N
