latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-9.774,-35.884,308.8,3.1,1.7,2020-10-02,0025,Terra,MODIS,76,6.0NRT,292.3,42.8,N
-6.893,-37.467,307.5,3.7,1.8,2020-10-02,0025,Terra,MODIS,72,6.0NRT,295.9,34.3,N
-6.909,-37.464,306.8,3.7,1.8,2020-10-02,0025,Terra,MODIS,69,6.0NRT,296.1,31.2,N
-6.9,-37.459,314.7,3.7,1.8,2020-10-02,0025,Terra,MODIS,90,6.0NRT,296.2,71.4,N
-9.775,-35.89,310,3.1,1.7,2020-10-02,0025,Terra,MODIS,79,6.0NRT,292.3,48,N
-14.131,-47.895,318.4,1.3,1.1,2020-10-02,0200,Terra,MODIS,89,6.0NRT,300.8,17.2,N
-14.376,-49.457,306.2,1.1,1,2020-10-02,0200,Terra,MODIS,39,6.0NRT,295.3,6.9,N
-15.274,-56.133,319.4,1.7,1.3,2020-10-02,0200,Terra,MODIS,98,6.0NRT,296.6,30.9,N
-14.127,-47.853,320.8,1.3,1.1,2020-10-02,0200,Terra,MODIS,95,6.0NRT,299.6,20,N
-14.129,-47.864,350.7,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,304.9,87.4,N
-14.131,-47.876,351.3,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,307.6,90.2,N
-14.133,-47.889,325.4,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,301.6,26.6,N
-15.191,-55.377,322.9,1.5,1.2,2020-10-02,0200,Terra,MODIS,100,6.0NRT,295.1,31.8,N
-14.106,-47.783,313.9,1.3,1.1,2020-10-02,0200,Terra,MODIS,83,6.0NRT,296.3,14.6,N
-14.108,-47.796,317.7,1.3,1.1,2020-10-02,0200,Terra,MODIS,92,6.0NRT,296.4,18.7,N
-14.117,-47.854,338,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,301.6,53.2,N
-14.119,-47.866,374.1,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,305.6,189.1,N
-14.12,-47.878,386.8,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,308.6,268.4,N
-14.122,-47.89,335.6,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,301.8,47.6,N
-14.124,-47.902,310.5,1.3,1.1,2020-10-02,0200,Terra,MODIS,30,6.0NRT,299.8,8.3,N
-15.184,-55.406,309.7,1.5,1.2,2020-10-02,0200,Terra,MODIS,75,6.0NRT,296,12,N
-15.186,-55.42,309.4,1.5,1.2,2020-10-02,0200,Terra,MODIS,58,6.0NRT,295.3,11.6,N
-15.275,-56.124,312.8,1.7,1.3,2020-10-02,0200,Terra,MODIS,85,6.0NRT,296.6,18.1,N
-15.277,-56.139,310.3,1.7,1.3,2020-10-02,0200,Terra,MODIS,78,6.0NRT,296.2,14.8,N
-14.105,-47.844,334.2,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,301.1,44.4,N
-14.106,-47.856,325.5,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,300.3,27.9,N
-14.092,-47.833,343,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,301.9,65.5,N
-14.094,-47.845,327.7,1.3,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,300.7,30.5,N
-14.084,-47.847,314.9,1.3,1.1,2020-10-02,0200,Terra,MODIS,11,6.0NRT,299.1,11,N
-15.212,-55.897,301.2,1.6,1.2,2020-10-02,0200,Terra,MODIS,14,6.0NRT,290.9,10.4,N
-14.053,-47.715,312.9,1.4,1.2,2020-10-02,0200,Terra,MODIS,33,6.0NRT,296.1,13.4,N
-14.055,-47.728,313.9,1.4,1.2,2020-10-02,0200,Terra,MODIS,36,6.0NRT,296.8,13.5,N
-14.023,-47.731,317.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,95,6.0NRT,298.3,17.3,N
-14.025,-47.743,313.2,1.4,1.2,2020-10-02,0200,Terra,MODIS,47,6.0NRT,298.6,11.1,N
-14.015,-47.745,311.6,1.4,1.2,2020-10-02,0200,Terra,MODIS,45,6.0NRT,297.7,10,N
-14.017,-47.738,321.1,1.4,1.2,2020-10-02,0200,Terra,MODIS,100,6.0NRT,298.3,24.9,N
-14.019,-47.75,308.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,50,6.0NRT,298,8.3,N
-15.291,-56.992,310.3,1.9,1.4,2020-10-02,0200,Terra,MODIS,35,6.0NRT,296.9,14.8,N
-15.14,-56.05,308.8,1.6,1.3,2020-10-02,0200,Terra,MODIS,74,6.0NRT,296.3,11.5,N
-14.072,-48.89,309.8,1.2,1.1,2020-10-02,0200,Terra,MODIS,78,6.0NRT,293.1,10.1,N
-14.073,-48.9,301.7,1.2,1.1,2020-10-02,0200,Terra,MODIS,29,6.0NRT,289.2,3.6,N
-14.752,-54.033,325.9,1.2,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,296.7,30.1,N
-14.753,-54.044,323,1.2,1.1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,296.5,26.1,N
-14.436,-51.753,307.8,1,1,2020-10-02,0200,Terra,MODIS,71,6.0NRT,296.4,5.9,N
-14.428,-51.76,311.3,1,1,2020-10-02,0200,Terra,MODIS,81,6.0NRT,296.3,9,N
-14.575,-52.813,309.4,1.1,1,2020-10-02,0200,Terra,MODIS,11,6.0NRT,297.8,6.5,N
-14.566,-52.814,308.7,1.1,1,2020-10-02,0200,Terra,MODIS,40,6.0NRT,297.4,6.1,N
-13.731,-47.566,314.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,89,6.0NRT,297.6,17.4,N
-14.005,-49.313,305.5,1.1,1.1,2020-10-02,0200,Terra,MODIS,64,6.0NRT,294.2,6.8,N
-13.721,-47.568,319.1,1.4,1.2,2020-10-02,0200,Terra,MODIS,98,6.0NRT,297.5,23.2,N
-13.723,-47.58,316.4,1.4,1.2,2020-10-02,0200,Terra,MODIS,93,6.0NRT,297.6,19.2,N
-13.684,-47.646,318.4,1.4,1.2,2020-10-02,0200,Terra,MODIS,97,6.0NRT,296.5,22.8,N
-13.686,-47.659,308.2,1.4,1.2,2020-10-02,0200,Terra,MODIS,74,6.0NRT,295.3,9.9,N
-14.415,-52.595,319.7,1,1,2020-10-02,0200,Terra,MODIS,99,6.0NRT,298.1,15.6,N
-14.417,-52.604,326.6,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,298.6,23.5,N
-14.418,-52.614,326.8,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,297.7,24.1,N
-13.745,-48.102,310.3,1.3,1.1,2020-10-02,0200,Terra,MODIS,80,6.0NRT,296.1,10.2,N
-13.624,-47.606,306,1.4,1.2,2020-10-02,0200,Terra,MODIS,64,6.0NRT,295,8.6,N
-13.617,-47.6,305.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,56,6.0NRT,294.5,9.1,N
-14.097,-50.86,317,1,1,2020-10-02,0200,Terra,MODIS,94,6.0NRT,296.8,12.3,N
-14.1,-50.879,336.6,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,298.9,35,N
-14.101,-50.888,326.4,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,297.9,21.3,N
-13.572,-47.724,306.4,1.4,1.2,2020-10-02,0200,Terra,MODIS,68,6.0NRT,293.9,9.5,N
-13.562,-47.726,310.2,1.4,1.2,2020-10-02,0200,Terra,MODIS,79,6.0NRT,294.4,13.2,N
-13.424,-46.949,307.7,1.6,1.2,2020-10-02,0200,Terra,MODIS,72,6.0NRT,296.6,9.9,N
-13.426,-46.965,311,1.6,1.2,2020-10-02,0200,Terra,MODIS,81,6.0NRT,296.9,14.1,N
-13.424,-46.957,315.2,1.6,1.2,2020-10-02,0200,Terra,MODIS,91,6.0NRT,297,20.6,N
-13.102,-45.516,305.1,2,1.4,2020-10-02,0200,Terra,MODIS,63,6.0NRT,289.1,22.3,N
-13.105,-45.535,303,2,1.4,2020-10-02,0200,Terra,MODIS,52,6.0NRT,288.3,18.8,N
-13.1,-45.522,306.3,2,1.4,2020-10-02,0200,Terra,MODIS,68,6.0NRT,288.7,24.1,N
-12.755,-44.176,303.4,2.6,1.5,2020-10-02,0200,Terra,MODIS,55,6.0NRT,293,20.4,N
-14.373,-55.21,307,1.4,1.2,2020-10-02,0200,Terra,MODIS,66,6.0NRT,294.1,9.5,N
-14.356,-55.159,313.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,82,6.0NRT,295.8,16,N
-14.373,-55.29,311.3,1.4,1.2,2020-10-02,0200,Terra,MODIS,57,6.0NRT,295,13.1,N
-14.374,-55.303,318.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,97,6.0NRT,295.7,23.2,N
-14.379,-55.343,312.8,1.4,1.2,2020-10-02,0200,Terra,MODIS,70,6.0NRT,296.3,15.4,N
-14.381,-55.356,309.6,1.4,1.2,2020-10-02,0200,Terra,MODIS,64,6.0NRT,295.3,11.8,N
-14.364,-55.305,312.6,1.4,1.2,2020-10-02,0200,Terra,MODIS,54,6.0NRT,295.7,14,N
-14.365,-55.318,314.3,1.4,1.2,2020-10-02,0200,Terra,MODIS,53,6.0NRT,296,16.3,N
-14.047,-52.931,313.7,1.1,1,2020-10-02,0200,Terra,MODIS,87,6.0NRT,294.6,11.2,N
-14.041,-52.937,305,1.1,1,2020-10-02,0200,Terra,MODIS,60,6.0NRT,294.7,5.2,N
-14.358,-55.298,307,1.4,1.2,2020-10-02,0200,Terra,MODIS,11,6.0NRT,295.3,7.8,N
-13.887,-51.897,322,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,299.1,17,N
-13.888,-51.906,313.8,1,1,2020-10-02,0200,Terra,MODIS,87,6.0NRT,297.7,9.6,N
-13.878,-51.898,313.2,1,1,2020-10-02,0200,Terra,MODIS,86,6.0NRT,297.6,9.5,N
-13.879,-51.907,309.1,1,1,2020-10-02,0200,Terra,MODIS,75,6.0NRT,296.9,6.5,N
-14.306,-55.068,308.2,1.4,1.2,2020-10-02,0200,Terra,MODIS,27,6.0NRT,296.5,7.9,N
-14.308,-55.08,315.5,1.4,1.2,2020-10-02,0200,Terra,MODIS,91,6.0NRT,295.5,17.3,N
-14.306,-55.146,308,1.4,1.2,2020-10-02,0200,Terra,MODIS,44,6.0NRT,294.8,9.4,N
-14.311,-55.184,306.8,1.4,1.2,2020-10-02,0200,Terra,MODIS,28,6.0NRT,296.3,6.9,N
-14.285,-55.07,314,1.4,1.2,2020-10-02,0200,Terra,MODIS,78,6.0NRT,296.2,13.7,N
-13.852,-51.911,312.6,1,1,2020-10-02,0200,Terra,MODIS,85,6.0NRT,297.4,9.2,N
-14.303,-55.292,305.4,1.4,1.2,2020-10-02,0200,Terra,MODIS,48,6.0NRT,295.4,5.7,N
-14.305,-55.305,306,1.4,1.2,2020-10-02,0200,Terra,MODIS,52,6.0NRT,295.4,6.2,N
-13.83,-51.82,336.8,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,300.4,35.6,N
-13.831,-51.83,324.6,1,1,2020-10-02,0200,Terra,MODIS,100,6.0NRT,298.7,19.3,N
-13.842,-51.904,309.3,1,1,2020-10-02,0200,Terra,MODIS,75,6.0NRT,296.9,7,N
