latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-6.89862,-37.45492,317,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,294,2,N
-6.89778,-37.45971,328.7,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.5,2,N
-6.76245,-38.33038,310.2,0.6,0.53,2020-10-02,0318,N,VIIRS,n,2.0NRT,294,2.7,N
-6.90005,-37.45356,311.2,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.7,2.2,N
-6.89925,-37.45837,315.3,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.9,1.8,N
-6.89845,-37.46315,305.6,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.8,1.8,N
-6.89384,-37.46241,311.7,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.1,1.8,N
-6.79612,-37.64398,310.4,0.54,0.51,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.9,2,N
-6.79528,-37.64885,307.7,0.54,0.51,2020-10-02,0318,N,VIIRS,n,2.0NRT,295.1,2.7,N
-5.62761,-43.53562,301.3,0.69,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,284.7,0.9,N
-5.62067,-43.53444,303.6,0.69,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,284.6,0.9,N
-5.61948,-43.54089,304.2,0.69,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,286.7,3.4,N
-5.62193,-43.53664,308,0.69,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,285.7,1.2,N
-5.62076,-43.54321,300.7,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,287.4,1.2,N
-5.61383,-43.54195,300.7,0.7,0.75,2020-10-02,0318,N,VIIRS,n,2.0NRT,286,1.2,N
-6.62709,-37.40189,310,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.6,1.7,N
-6.62534,-37.41208,304.8,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,293.5,2.1,N
-6.6207,-37.41151,313.4,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.3,2.1,N
-6.62153,-37.40666,321.5,0.52,0.5,2020-10-02,0318,N,VIIRS,n,2.0NRT,294.6,2.1,N
-5.51247,-42.8576,329.8,0.63,0.72,2020-10-02,0318,N,VIIRS,n,2.0NRT,290.9,5.2,N
-5.95654,-37.88079,313.9,0.57,0.52,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.5,3.1,N
-5.95725,-37.88377,315.9,0.58,0.52,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.3,2.5,N
-4.56838,-41.1407,303.7,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.5,2.2,N
-4.56757,-41.14529,328,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.4,2.2,N
-4.56318,-41.13458,308.5,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.1,1.9,N
-4.56236,-41.13918,317.2,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.4,2.2,N
-4.56155,-41.14381,318.8,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,2.2,N
-4.55789,-41.12893,313,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.8,1.7,N
-4.55707,-41.13355,311.6,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.8,1.7,N
-4.56323,-41.1358,312.8,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,1.6,N
-4.56244,-41.14042,318.7,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.8,3.1,N
-4.56166,-41.14506,320.9,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.6,3.1,N
-4.55791,-41.1301,315.7,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.2,1.6,N
-4.55712,-41.13476,304.8,0.5,0.66,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.9,1.6,N
-4.46772,-38.72535,323,0.35,0.56,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.1,4.7,N
-4.46717,-38.72855,367,0.35,0.56,2020-10-02,0318,N,VIIRS,h,2.0NRT,292.2,4.7,N
-3.60574,-41.58076,321.9,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.3,3.8,N
-3.60483,-41.5859,327.3,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.6,3.8,N
-3.59941,-41.57948,337.8,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.7,7.7,N
-3.5985,-41.58469,352.9,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,293,7.7,N
-3.59214,-41.58355,303.8,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.7,7.7,N
-3.59307,-41.57828,367,0.56,0.69,2020-10-02,0318,N,VIIRS,h,2.0NRT,293.6,7.7,N
-3.6048,-41.58016,325.5,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.9,6.9,N
-3.60393,-41.58531,349.7,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,292.4,12.1,N
-3.59848,-41.57882,324.2,0.56,0.69,2020-10-02,0318,N,VIIRS,n,2.0NRT,291.9,7.6,N
